State,LocalDate
QLD,2017-10-02
QLD,2018-05-07
QLD,2017-12-25
QLD,2017-12-26
QLD,2018-01-01
QLD,2018-01-26
QLD,2018-03-30
QLD,2018-04-02
QLD,2018-04-25
QLD,2018-10-01
NSW,2017-10-02
NSW,2018-03-30
NSW,2018-04-02
NSW,2018-04-25
NSW,2017-12-25
NSW,2017-12-26
NSW,2018-01-01
NSW,2018-01-26
NSW,2018-06-11
NSW,2018-10-01
VIC,2017-11-07
VIC,2018-03-12
VIC,2018-03-30
VIC,2018-04-02
VIC,2018-04-25
VIC,2017-12-25
VIC,2017-12-26
VIC,2018-01-01
VIC,2018-01-26
VIC,2018-06-11
VIC,2018-09-28
WA,2018-03-30
WA,2018-04-02
WA,2018-04-25
WA,2017-12-25
WA,2017-12-26
WA,2018-01-01
WA,2018-09-24
WA,2018-01-26
WA,2018-03-05
WA,2018-06-04
