AESTTime,E
2017-10-01 00:00:00,117.36
2017-10-01 00:30:00,114.88
2017-10-01 01:00:00,108.15
2017-10-01 01:30:00,107.75
2017-10-01 02:00:00,111.63
2017-10-01 02:30:00,116.92
2017-10-01 03:00:00,115.9
2017-10-01 03:30:00,122.92
2017-10-01 04:00:00,125.8
2017-10-01 04:30:00,132.28
2017-10-01 05:00:00,135.32
2017-10-01 05:30:00,142.12
2017-10-01 06:00:00,143.65
2017-10-01 06:30:00,165.26
2017-10-01 07:00:00,189.06
2017-10-01 07:30:00,226.43
2017-10-01 08:00:00,296.82
2017-10-01 08:30:00,331.77
2017-10-01 09:00:00,363.78
2017-10-01 09:30:00,351.97
2017-10-01 10:00:00,352.4
2017-10-01 10:30:00,352.83
2017-10-01 11:00:00,355.15
2017-10-01 11:30:00,338.93
2017-10-01 12:00:00,346.45
2017-10-01 12:30:00,341.7
2017-10-01 13:00:00,354.68
2017-10-01 13:30:00,339.86
2017-10-01 14:00:00,330.26
2017-10-01 14:30:00,329.3
2017-10-01 15:00:00,334.61
2017-10-01 15:30:00,315.28
2017-10-01 16:00:00,231.5
2017-10-01 16:30:00,140.18
2017-10-01 17:00:00,127.51
2017-10-01 17:30:00,119.81
2017-10-01 18:00:00,127.35
2017-10-01 18:30:00,119.43
2017-10-01 19:00:00,122.77
2017-10-01 19:30:00,123.01
2017-10-01 20:00:00,118.46
2017-10-01 20:30:00,112.9
2017-10-01 21:00:00,113.61
2017-10-01 21:30:00,111.74
2017-10-01 22:00:00,113.54
2017-10-01 22:30:00,100.85
2017-10-01 23:00:00,92.97
2017-10-01 23:30:00,94.23
2017-10-02 00:00:00,94.48
2017-10-02 00:30:00,101.59
2017-10-02 01:00:00,106.44
2017-10-02 01:30:00,101.83
2017-10-02 02:00:00,90.99
2017-10-02 02:30:00,103.76
2017-10-02 03:00:00,110.24
2017-10-02 03:30:00,116.46
2017-10-02 04:00:00,118.73
2017-10-02 04:30:00,133.26
2017-10-02 05:00:00,136.11
2017-10-02 05:30:00,146.58
2017-10-02 06:00:00,165.58
2017-10-02 06:30:00,178.83
2017-10-02 07:00:00,263.14
2017-10-02 07:30:00,350.39
2017-10-02 08:00:00,387.5
2017-10-02 08:30:00,387.36
2017-10-02 09:00:00,373.22
2017-10-02 09:30:00,374.72
2017-10-02 10:00:00,387.49
2017-10-02 10:30:00,369.18
2017-10-02 11:00:00,373.75
2017-10-02 11:30:00,382.64
2017-10-02 12:00:00,366.77
2017-10-02 12:30:00,365.0
2017-10-02 13:00:00,376.22
2017-10-02 13:30:00,383.77
2017-10-02 14:00:00,373.9
2017-10-02 14:30:00,370.72
2017-10-02 15:00:00,369.23
2017-10-02 15:30:00,330.42
2017-10-02 16:00:00,324.72
2017-10-02 16:30:00,220.31
2017-10-02 17:00:00,152.99
2017-10-02 17:30:00,146.7
2017-10-02 18:00:00,128.78
2017-10-02 18:30:00,128.11
2017-10-02 19:00:00,124.69
2017-10-02 19:30:00,127.15
2017-10-02 20:00:00,119.19
2017-10-02 20:30:00,123.69
2017-10-02 21:00:00,112.54
2017-10-02 21:30:00,108.34
2017-10-02 22:00:00,99.5
2017-10-02 22:30:00,99.11
2017-10-02 23:00:00,101.81
2017-10-02 23:30:00,111.09
2017-10-03 00:00:00,94.58
2017-10-03 00:30:00,95.91
2017-10-03 01:00:00,106.91
2017-10-03 01:30:00,103.55
2017-10-03 02:00:00,106.54
2017-10-03 02:30:00,102.03
2017-10-03 03:00:00,108.51
2017-10-03 03:30:00,109.48
2017-10-03 04:00:00,122.15
2017-10-03 04:30:00,129.67
2017-10-03 05:00:00,133.91
2017-10-03 05:30:00,141.18
2017-10-03 06:00:00,159.1
2017-10-03 06:30:00,194.59
2017-10-03 07:00:00,269.05
2017-10-03 07:30:00,355.07
2017-10-03 08:00:00,393.28
2017-10-03 08:30:00,396.56
2017-10-03 09:00:00,386.79
2017-10-03 09:30:00,361.26
2017-10-03 10:00:00,366.36
2017-10-03 10:30:00,364.27
2017-10-03 11:00:00,370.47
2017-10-03 11:30:00,378.24
2017-10-03 12:00:00,374.1
2017-10-03 12:30:00,421.62
2017-10-03 13:00:00,418.31
2017-10-03 13:30:00,429.79
2017-10-03 14:00:00,420.48
2017-10-03 14:30:00,415.21
2017-10-03 15:00:00,409.87
2017-10-03 15:30:00,389.79
2017-10-03 16:00:00,358.06
2017-10-03 16:30:00,214.92
2017-10-03 17:00:00,161.44
2017-10-03 17:30:00,152.42
2017-10-03 18:00:00,135.09
2017-10-03 18:30:00,137.54
2017-10-03 19:00:00,128.41
2017-10-03 19:30:00,127.38
2017-10-03 20:00:00,126.43
2017-10-03 20:30:00,126.35
2017-10-03 21:00:00,116.69
2017-10-03 21:30:00,109.37
2017-10-03 22:00:00,105.91
2017-10-03 22:30:00,105.9
2017-10-03 23:00:00,102.71
2017-10-03 23:30:00,96.04
2017-10-04 00:00:00,97.0
2017-10-04 00:30:00,91.94
2017-10-04 01:00:00,101.07
2017-10-04 01:30:00,105.62
2017-10-04 02:00:00,106.71
2017-10-04 02:30:00,106.44
2017-10-04 03:00:00,105.19
2017-10-04 03:30:00,110.11
2017-10-04 04:00:00,119.31
2017-10-04 04:30:00,137.75
2017-10-04 05:00:00,141.83
2017-10-04 05:30:00,150.01
2017-10-04 06:00:00,174.16
2017-10-04 06:30:00,200.48
2017-10-04 07:00:00,261.08
2017-10-04 07:30:00,365.72
2017-10-04 08:00:00,396.38
2017-10-04 08:30:00,392.93
2017-10-04 09:00:00,374.49
2017-10-04 09:30:00,361.02
2017-10-04 10:00:00,356.66
2017-10-04 10:30:00,364.01
2017-10-04 11:00:00,388.18
2017-10-04 11:30:00,425.57
2017-10-04 12:00:00,440.83
2017-10-04 12:30:00,432.72
2017-10-04 13:00:00,428.97
2017-10-04 13:30:00,425.63
2017-10-04 14:00:00,424.95
2017-10-04 14:30:00,427.65
2017-10-04 15:00:00,418.84
2017-10-04 15:30:00,401.72
2017-10-04 16:00:00,371.66
2017-10-04 16:30:00,216.09
2017-10-04 17:00:00,151.85
2017-10-04 17:30:00,148.45
2017-10-04 18:00:00,136.73
2017-10-04 18:30:00,132.92
2017-10-04 19:00:00,135.27
2017-10-04 19:30:00,133.84
2017-10-04 20:00:00,129.27
2017-10-04 20:30:00,124.11
2017-10-04 21:00:00,118.98
2017-10-04 21:30:00,115.46
2017-10-04 22:00:00,108.98
2017-10-04 22:30:00,104.2
2017-10-04 23:00:00,100.3
2017-10-04 23:30:00,96.51
2017-10-05 00:00:00,99.36
2017-10-05 00:30:00,111.78
2017-10-05 01:00:00,118.97
2017-10-05 01:30:00,110.28
2017-10-05 02:00:00,112.08
2017-10-05 02:30:00,112.56
2017-10-05 03:00:00,114.76
2017-10-05 03:30:00,115.1
2017-10-05 04:00:00,116.32
2017-10-05 04:30:00,131.33
2017-10-05 05:00:00,131.42
2017-10-05 05:30:00,149.14
2017-10-05 06:00:00,160.12
2017-10-05 06:30:00,204.75
2017-10-05 07:00:00,253.34
2017-10-05 07:30:00,303.51
2017-10-05 08:00:00,352.42
2017-10-05 08:30:00,382.58
2017-10-05 09:00:00,364.13
2017-10-05 09:30:00,369.31
2017-10-05 10:00:00,390.28
2017-10-05 10:30:00,379.53
2017-10-05 11:00:00,380.8
2017-10-05 11:30:00,411.1
2017-10-05 12:00:00,440.23
2017-10-05 12:30:00,416.14
2017-10-05 13:00:00,390.15
2017-10-05 13:30:00,369.16
2017-10-05 14:00:00,382.65
2017-10-05 14:30:00,366.52
2017-10-05 15:00:00,343.06
2017-10-05 15:30:00,346.69
2017-10-05 16:00:00,342.26
2017-10-05 16:30:00,342.24
2017-10-05 17:00:00,327.11
2017-10-05 17:30:00,305.74
2017-10-05 18:00:00,309.8
2017-10-05 18:30:00,310.29
2017-10-05 19:00:00,294.22
2017-10-05 19:30:00,255.46
2017-10-05 20:00:00,174.26
2017-10-05 20:30:00,139.8
2017-10-05 21:00:00,127.93
2017-10-05 21:30:00,124.94
2017-10-05 22:00:00,116.75
2017-10-05 22:30:00,104.96
2017-10-05 23:00:00,108.93
2017-10-05 23:30:00,93.97
2017-10-06 00:00:00,99.34
2017-10-06 00:30:00,109.68
2017-10-06 01:00:00,115.02
2017-10-06 01:30:00,108.97
2017-10-06 02:00:00,113.37
2017-10-06 02:30:00,111.02
2017-10-06 03:00:00,108.7
2017-10-06 03:30:00,118.26
2017-10-06 04:00:00,125.59
2017-10-06 04:30:00,140.36
2017-10-06 05:00:00,147.21
2017-10-06 05:30:00,154.14
2017-10-06 06:00:00,190.34
2017-10-06 06:30:00,209.46
2017-10-06 07:00:00,266.95
2017-10-06 07:30:00,341.68
2017-10-06 08:00:00,395.56
2017-10-06 08:30:00,413.02
2017-10-06 09:00:00,406.6
2017-10-06 09:30:00,400.59
2017-10-06 10:00:00,383.72
2017-10-06 10:30:00,386.06
2017-10-06 11:00:00,389.5
2017-10-06 11:30:00,399.49
2017-10-06 12:00:00,401.69
2017-10-06 12:30:00,390.44
2017-10-06 13:00:00,375.85
2017-10-06 13:30:00,373.57
2017-10-06 14:00:00,368.25
2017-10-06 14:30:00,366.23
2017-10-06 15:00:00,356.08
2017-10-06 15:30:00,353.03
2017-10-06 16:00:00,355.77
2017-10-06 16:30:00,352.17
2017-10-06 17:00:00,314.96
2017-10-06 17:30:00,316.72
2017-10-06 18:00:00,312.75
2017-10-06 18:30:00,306.52
2017-10-06 19:00:00,299.76
2017-10-06 19:30:00,270.93
2017-10-06 20:00:00,181.84
2017-10-06 20:30:00,138.39
2017-10-06 21:00:00,131.84
2017-10-06 21:30:00,114.04
2017-10-06 22:00:00,106.44
2017-10-06 22:30:00,107.33
2017-10-06 23:00:00,98.3
2017-10-06 23:30:00,114.27
2017-10-07 00:00:00,115.03
2017-10-07 00:30:00,102.63
2017-10-07 01:00:00,111.23
2017-10-07 01:30:00,107.55
2017-10-07 02:00:00,101.59
2017-10-07 02:30:00,109.83
2017-10-07 03:00:00,105.19
2017-10-07 03:30:00,109.71
2017-10-07 04:00:00,113.63
2017-10-07 04:30:00,136.9
2017-10-07 05:00:00,139.17
2017-10-07 05:30:00,146.51
2017-10-07 06:00:00,164.78
2017-10-07 06:30:00,191.92
2017-10-07 07:00:00,252.0
2017-10-07 07:30:00,317.33
2017-10-07 08:00:00,403.42
2017-10-07 08:30:00,405.76
2017-10-07 09:00:00,386.62
2017-10-07 09:30:00,387.24
2017-10-07 10:00:00,378.92
2017-10-07 10:30:00,375.16
2017-10-07 11:00:00,364.75
2017-10-07 11:30:00,379.39
2017-10-07 12:00:00,377.41
2017-10-07 12:30:00,378.5
2017-10-07 13:00:00,385.52
2017-10-07 13:30:00,422.46
2017-10-07 14:00:00,415.19
2017-10-07 14:30:00,408.19
2017-10-07 15:00:00,397.69
2017-10-07 15:30:00,385.14
2017-10-07 16:00:00,300.28
2017-10-07 16:30:00,164.54
2017-10-07 17:00:00,142.35
2017-10-07 17:30:00,132.81
2017-10-07 18:00:00,120.61
2017-10-07 18:30:00,130.76
2017-10-07 19:00:00,125.67
2017-10-07 19:30:00,123.59
2017-10-07 20:00:00,123.39
2017-10-07 20:30:00,120.1
2017-10-07 21:00:00,121.27
2017-10-07 21:30:00,114.33
2017-10-07 22:00:00,118.75
2017-10-07 22:30:00,111.25
2017-10-07 23:00:00,107.07
2017-10-07 23:30:00,103.16
2017-10-08 00:00:00,118.21
2017-10-08 00:30:00,122.91
2017-10-08 01:00:00,113.28
2017-10-08 01:30:00,112.95
2017-10-08 02:00:00,116.49
2017-10-08 02:30:00,118.63
2017-10-08 03:00:00,118.1
2017-10-08 03:30:00,118.97
2017-10-08 04:00:00,131.38
2017-10-08 04:30:00,139.76
2017-10-08 05:00:00,131.32
2017-10-08 05:30:00,132.84
2017-10-08 06:00:00,149.03
2017-10-08 06:30:00,164.8
2017-10-08 07:00:00,184.5
2017-10-08 07:30:00,226.04
2017-10-08 08:00:00,291.12
2017-10-08 08:30:00,325.19
2017-10-08 09:00:00,353.02
2017-10-08 09:30:00,350.11
2017-10-08 10:00:00,366.73
2017-10-08 10:30:00,403.1
2017-10-08 11:00:00,420.13
2017-10-08 11:30:00,424.77
2017-10-08 12:00:00,426.12
2017-10-08 12:30:00,410.25
2017-10-08 13:00:00,406.08
2017-10-08 13:30:00,399.92
2017-10-08 14:00:00,401.88
2017-10-08 14:30:00,412.97
2017-10-08 15:00:00,400.01
2017-10-08 15:30:00,374.41
2017-10-08 16:00:00,294.51
2017-10-08 16:30:00,155.01
2017-10-08 17:00:00,132.65
2017-10-08 17:30:00,123.87
2017-10-08 18:00:00,121.56
2017-10-08 18:30:00,127.48
2017-10-08 19:00:00,123.14
2017-10-08 19:30:00,125.81
2017-10-08 20:00:00,120.97
2017-10-08 20:30:00,123.42
2017-10-08 21:00:00,125.33
2017-10-08 21:30:00,115.0
2017-10-08 22:00:00,114.1
2017-10-08 22:30:00,108.5
2017-10-08 23:00:00,115.99
2017-10-08 23:30:00,99.96
2017-10-09 00:00:00,97.45
2017-10-09 00:30:00,106.68
2017-10-09 01:00:00,96.13
2017-10-09 01:30:00,108.37
2017-10-09 02:00:00,102.4
2017-10-09 02:30:00,101.18
2017-10-09 03:00:00,110.03
2017-10-09 03:30:00,111.6
2017-10-09 04:00:00,124.66
2017-10-09 04:30:00,128.14
2017-10-09 05:00:00,141.66
2017-10-09 05:30:00,147.73
2017-10-09 06:00:00,165.86
2017-10-09 06:30:00,190.67
2017-10-09 07:00:00,253.54
2017-10-09 07:30:00,345.29
2017-10-09 08:00:00,363.0
2017-10-09 08:30:00,370.94
2017-10-09 09:00:00,352.81
2017-10-09 09:30:00,361.2
2017-10-09 10:00:00,350.76
2017-10-09 10:30:00,362.78
2017-10-09 11:00:00,366.09
2017-10-09 11:30:00,376.75
2017-10-09 12:00:00,378.54
2017-10-09 12:30:00,370.46
2017-10-09 13:00:00,395.63
2017-10-09 13:30:00,418.77
2017-10-09 14:00:00,385.51
2017-10-09 14:30:00,387.61
2017-10-09 15:00:00,379.49
2017-10-09 15:30:00,365.53
2017-10-09 16:00:00,342.59
2017-10-09 16:30:00,216.38
2017-10-09 17:00:00,151.0
2017-10-09 17:30:00,143.1
2017-10-09 18:00:00,122.89
2017-10-09 18:30:00,134.15
2017-10-09 19:00:00,130.28
2017-10-09 19:30:00,125.27
2017-10-09 20:00:00,125.71
2017-10-09 20:30:00,119.21
2017-10-09 21:00:00,113.14
2017-10-09 21:30:00,116.73
2017-10-09 22:00:00,104.5
2017-10-09 22:30:00,106.39
2017-10-09 23:00:00,100.3
2017-10-09 23:30:00,97.64
